year,mon,day,hour,minute,latitude,longitude
2020,08,04,21,44,70.79707166666667,29.552231666666668
2020,08,03,10,54,69.48726,18.21662
2020,08,11,16,54,62.47573,6.15239
2020,08,14,09,54,69.27191666666667,17.971608333333332
2020,08,04,02,24,70.53028,23.01356
2020,08,12,04,24,63.507385,9.125035
2020,08,13,12,24,67.28888333333333,14.394896666666666
2020,08,15,01,54,70.51402166666666,22.958668333333332
2020,08,10,18,14,60.39279,5.309853333333334
2020,08,11,01,24,61.594211666666666,4.958373333333333
2020,08,09,06,14,63.44359,10.407453333333333
2020,08,05,10,34,69.72888,30.07115
2020,08,03,00,54,68.63484666666666,15.358518333333333
2020,08,07,23,34,67.46955166666666,14.387255
2020,08,11,11,14,62.28218,7.011313333333334
2020,08,06,06,14,70.995715,24.745918333333332
2020,08,03,06,14,68.85466833333334,16.754318333333334
2020,08,06,15,54,70.38678,21.64382
2020,08,07,08,04,68.98404,15.885558333333334
2020,08,05,16,44,70.62033166666667,30.487718333333333
2020,08,09,16,24,63.03747333333333,7.212636666666667
2020,08,05,14,54,70.37476166666667,31.104756666666667
2020,08,10,19,44,60.429853333333334,5.273196666666666
2020,08,03,03,14,68.97820666666667,15.71345
2020,08,13,02,24,65.95880666666666,12.441588333333334
2020,08,11,17,44,62.49399833333333,6.147361666666667
2020,08,05,07,34,69.72887333333334,30.071153333333335
2020,08,07,11,04,68.69882166666666,15.42083
2020,08,07,18,14,68.23092333333334,14.56671
2020,08,03,09,14,69.228915,17.970065
2020,08,11,18,34,62.624135,6.399571666666667
2020,08,12,21,14,64.927905,11.422515
2020,08,15,02,44,70.639195,23.438055
2020,08,14,11,24,69.52999666666666,18.525741666666665
2020,08,12,20,34,64.860055,11.238753333333333
2020,08,03,20,24,70.06184,20.94291
2020,08,03,21,04,70.034945,20.98397
2020,08,11,03,04,61.81462833333333,5.16579
2020,08,07,17,34,68.23091333333333,14.566718333333334
2020,08,09,13,54,63.19284833333333,7.8233033333333335
2020,08,02,14,44,67.49705,14.369738333333334
2020,08,09,14,24,63.10487833333333,7.717735
2020,08,12,21,54,65.02979166666667,11.70449
2020,08,12,16,14,64.12687333333334,10.075788333333334
2020,08,13,03,04,66.02402833333333,12.637551666666667
2020,08,12,03,34,63.443815,8.774531666666666
2020,08,11,06,04,62.294025,5.444711666666667
2020,08,15,13,24,70.96888,26.17921
