year,mon,day,hour,minute,latitude,longitude,delta_lat,delta_lon,delta_pos
2020,8,2,22,24,68.3368583333333,15.0196783333333,-0.027,0.031,0.041
2020,8,2,22,34,68.3756516666667,15.06346,0.039,0.044,0.058
2020,8,2,22,44,68.4141833333333,15.130915,0.039,0.067,0.078
2020,8,2,22,54,68.4376916666667,15.1617316666667,0.024,0.031,0.039
2020,8,2,23,4,68.486245,15.2138066666667,0.049,0.052,0.071
2020,8,2,23,14,68.5084366666667,15.1617183333333,0.022,-0.052,0.057
2020,8,2,23,24,68.5511666666667,15.0706533333333,0.043,-0.091,0.101
2020,8,2,23,34,68.5744033333333,14.979445,0.023,-0.091,0.094
2020,8,2,23,44,68.5714166666667,14.9136916666667,-0.003,-0.066,0.066
2020,8,2,23,54,68.5713616666667,14.911095,0.000,-0.003,0.003
2020,8,3,0,4,68.57137,14.9110733333333,0.000,0.000,0.000
2020,8,3,0,14,68.576315,14.9611666666667,0.005,0.050,0.050
2020,8,3,0,24,68.5699583333333,15.0668666666667,-0.006,0.106,0.106
2020,8,3,0,34,68.5880933333333,15.169435,0.018,0.103,0.104
2020,8,3,0,44,68.6071266666667,15.2719833333333,0.019,0.103,0.104
2020,8,3,0,54,68.6348466666667,15.3585183333333,0.028,0.087,0.091
2020,8,3,1,4,68.65908,15.4140283333333,0.024,0.056,0.061
2020,8,3,1,14,68.6964816666667,15.424615,0.037,0.011,0.039
2020,8,3,1,24,68.6988166666667,15.4207016666667,0.002,-0.004,0.005
2020,8,3,1,34,68.70077,15.4257016666667,0.002,0.005,0.005
2020,8,3,1,44,68.7387,15.42474,0.038,-0.001,0.038
2020,8,3,1,54,68.781035,15.433015,0.042,0.008,0.043
2020,8,3,2,4,68.82211,15.4509916666667,0.041,0.018,0.045
2020,8,3,2,14,68.8589466666667,15.5050016666667,0.037,0.054,0.065
2020,8,3,2,24,68.8949483333333,15.5532683333333,0.036,0.048,0.060
2020,8,3,2,34,68.9240666666667,15.5875033333333,0.029,0.034,0.045
2020,8,3,2,44,68.9569066666667,15.6140066666667,0.033,0.027,0.042
2020,8,3,2,54,68.96798,15.6422316666667,0.011,0.028,0.030
2020,8,3,3,4,68.968305,15.65688,0.000,0.015,0.015
2020,8,3,3,14,68.9782066666667,15.71345,0.010,0.057,0.057
2020,8,3,3,24,68.978215,15.7539333333333,0.000,0.040,0.040
2020,8,3,3,34,68.9845766666667,15.8960666666667,0.006,0.142,0.142
2020,8,3,3,44,68.9744333333333,16.0095083333333,-0.010,0.113,0.114
2020,8,3,3,54,68.96698,16.090375,-0.007,0.081,0.081
2020,8,3,4,4,68.9507916666667,16.19172,-0.016,0.101,0.103
2020,8,3,4,14,68.9313266666667,16.28152,-0.019,0.090,0.092
2020,8,3,4,24,68.90413,16.3617583333333,-0.027,0.080,0.085
2020,8,3,4,34,68.8714266666667,16.4648183333333,-0.033,0.103,0.108
2020,8,3,4,44,68.8543416666667,16.5248533333333,-0.017,0.060,0.062
2020,8,3,4,54,68.8236233333333,16.600265,-0.031,0.075,0.081
2020,8,3,5,4,68.8001416666667,16.5606766666667,-0.023,-0.040,0.046
2020,8,3,5,14,68.7995033333333,16.5500566666667,-0.001,-0.011,0.011
2020,8,3,5,24,68.7995033333333,16.5500516666667,0.000,0.000,0.000
2020,8,3,5,34,68.7995016666667,16.5500483333333,0.000,0.000,0.000
2020,8,3,5,44,68.7995083333333,16.5500383333333,0.000,0.000,0.000
2020,8,3,5,54,68.80513,16.5680533333333,0.006,0.018,0.019
2020,8,3,6,4,68.8368366666667,16.6926733333333,0.032,0.125,0.129
2020,8,3,6,14,68.8546683333333,16.7543183333333,0.018,0.062,0.064
2020,8,3,6,24,68.881685,16.84839,0.027,0.094,0.098
2020,8,3,6,34,68.9077116666667,16.9386333333333,0.026,0.090,0.094
2020,8,3,6,44,68.922585,16.9903483333333,0.015,0.052,0.054
2020,8,3,6,54,68.9526,17.094945,0.030,0.105,0.109
2020,8,3,7,4,68.9811016666667,17.1942966666667,0.029,0.099,0.103
